pH,TDS,Turbidity,Phospate,Nitrate,Iron,COD(mg/L),Chlorine,Sodium,Class
7.541876072,759,4.2,0.001549,8,0.380425467,404,1,13,1
7.549446771,944,2,0.002397036,6,0.361685573,415,2,15,1
7.506576771,813,3.93,0.007707143,7,0.350243191,403,2,2,1
7.526683943,808,3.29,0.010492191,8,0.3992221,401,3,14,1
7.517796015,770,0.88,0.020710149,7,0.359513493,412,1,14,1
7.5726259,656,3.39,0.001067215,7,0.386616553,406,2,11,1
7.563141261,947,3.91,0.019758764,6,0.335645844,408,2,20,1
7.531113191,684,2.38,0.017697447,7,0.329579716,417,1,12,1
7.508510513,662,0.34,0.024564956,7,0.347367264,412,2,13,1
7.554061661,790,3.74,0.024489915,6,0.312972551,422,4,2,1
7.533360021,873,2.08,0.007847447,7,0.308825564,418,4,4,1
7.563110855,917,3.58,0.025498902,7,0.380511851,429,3,9,1
7.505763524,761,1.48,0.023097925,7,0.383549936,393,4,17,2
7.5168803,646,0.27,0.010568134,7,0.334793794,425,1,9,1
7.517783037,771,2.28,0.016621734,6,0.340233614,414,4,18,1
7.534339933,903,2.33,0.026880286,6,0.340835117,420,3,7,1
7.548100841,948,0.56,0.0087842,8,0.38842833,415,3,8,1
7.539039197,924,1.17,0.005009864,6,0.300276091,405,2,6,1
7.594351836,671,0.59,0.010288764,7,0.323641325,420,2,13,1
7.582447899,820,0.11,0.007096174,7,0.377035092,397,4,15,2
7.506061501,696,4.05,0.025223058,8,0.356704426,413,2,20,1
7.534505378,835,2.5,6.74E-05,6,0.304827319,395,3,1,0
7.526613074,877,0.24,0.026972417,7,0.30686153,397,3,15,2
7.574277892,653,3.54,0.018483848,7,0.350469178,401,3,14,1
7.592855264,964,0.6,0.02417957,7,0.395856877,398,2,10,0
7.564854345,634,2.43,0.005624434,8,0.316983172,425,2,10,1
7.584977684,776,1.66,0.009879385,6,0.301004352,421,1,8,1
7.546360167,745,2.82,0.028865787,8,0.30883596,419,4,9,1
7.522362881,773,1.83,0.001808425,6,0.344535226,397,1,11,0
7.598941644,642,2.94,0.011859333,8,0.336934456,401,3,13,1
7.549388787,680,1.07,0.025921118,6,0.385842777,419,3,14,1
7.526454781,690,3.56,0.00057057,6,0.407601077,429,3,11,1
7.567304962,966,2.97,0.00302304,8,0.366365524,411,3,4,1
7.571824346,651,2.29,0.004020911,6,0.370113825,426,2,6,1
7.506983131,793,2.15,0.02488797,8,0.32178741,404,3,13,1
7.591937889,855,3.54,0.018178158,7,0.326007126,410,1,4,1
7.521496542,849,3.61,0.002927658,8,0.358704467,408,4,10,1
7.529949669,723,3.91,0.003416353,6,0.314129229,396,1,17,0
7.582521995,837,3.78,0.027960675,6,0.395264506,418,1,3,1
7.595943956,662,2.5,0.022211174,7,0.338300477,390,1,1,2
7.521073606,675,3.68,0.018452772,8,0.372981108,411,4,3,1
7.550186892,952,3.47,0.001122332,7,0.37225365,413,2,4,1
7.564210246,708,3.26,0.028184214,8,0.389395572,395,1,4,2
7.539611069,678,2.13,0.028683193,8,0.378155729,407,4,5,1
7.586208599,863,1.63,0.015954475,8,0.318007494,391,3,20,2
7.561507266,787,1.25,0.00179038,6,0.401357667,394,4,11,0
7.534435416,961,1.21,0.010569797,6,0.335462046,424,3,1,1
7.558570951,696,3.5,0.010521605,8,0.403670379,401,3,2,1
7.551278497,746,2.85,0.025115765,6,0.359946409,401,2,7,1
7.567022082,719,2.24,0.02480694,8,0.342232834,421,2,7,1
7.518227245,783,1.76,0.026256409,7,0.33405022,395,1,7,2
7.50256265,756,1.19,0.029498495,8,0.336946778,429,2,9,1
7.531939601,940,0.42,0.020891557,8,0.385799307,400,4,18,1
7.523131061,699,1.28,0.003033631,6,0.310658506,426,1,15,1
7.502990241,685,1.12,0.004630068,6,0.405102588,422,1,4,1
7.541755156,845,3.56,0.007021887,6,0.31371542,396,2,3,2
7.580527304,852,3.14,0.014232611,8,0.39266661,390,2,20,2
7.5822341,936,1.15,0.012017319,6,0.335767284,424,3,12,1
7.502532547,840,2.72,0.003866024,7,0.394224222,395,4,15,0
7.590649676,779,0.62,0.024456273,7,0.382674517,400,4,15,1
7.551904431,705,2.54,0.027116495,8,0.373627681,397,1,19,2
7.513476641,734,0.76,0.019885747,8,0.301670398,406,1,17,1
7.591588267,742,3.2,0.026703871,8,0.405392574,390,3,2,0
7.551774748,814,3.34,0.029389318,8,0.39824359,422,1,2,1
7.500456766,975,2.81,0.001812461,7,0.337069168,395,2,19,0
7.588060057,648,3.14,0.013413697,8,0.330274364,397,4,14,2
7.569685778,761,3.44,0.015202875,6,0.388534138,424,2,1,1
7.514625968,965,0.21,0.006205511,7,0.325663897,399,4,17,0
7.505790199,900,1.87,0.028012746,8,0.392988179,392,4,6,0
7.591245662,943,0.9,0.007293143,6,0.390447191,400,4,14,1
7.578077654,694,3.72,0.016383558,8,0.360924609,430,3,7,1
7.563475048,690,2.62,0.015262571,6,0.377986814,402,1,17,1
7.587724954,825,3.29,0.005354715,6,0.370042412,402,3,18,1
7.568364639,649,1.61,0.008985685,6,0.304808787,390,3,15,2
7.552966019,830,4.13,0.025446663,6,0.328154137,414,3,6,1
7.572227022,650,3.96,0.027580295,8,0.403918351,414,1,14,1
7.522377497,709,3.56,0.023014861,7,0.390954755,412,1,15,1
7.52931958,858,1.18,0.010355445,6,0.346548239,396,1,1,2
7.550399812,897,0.41,0.015999859,7,0.326861008,420,2,11,1
7.534090307,835,3.33,0.028714061,6,0.302561261,397,2,7,2
7.527084078,934,2.98,0.000529542,6,0.380481997,405,2,13,1
7.566463197,766,4.17,0.011652973,7,0.377964578,399,1,1,2
7.518275716,930,3.94,0.02171186,8,0.403271216,419,2,8,1
7.552046824,671,2.56,0.029443015,7,0.340393429,417,1,11,1
7.517717568,770,1.01,0.022406233,8,0.349640839,422,3,18,1
7.52901337,740,3.93,0.008560816,8,0.309414431,409,3,16,1
7.514624657,908,2.62,0.023770366,8,0.363611629,411,1,3,1
7.555201363,854,1.06,0.017187064,7,0.341332394,393,4,3,2
7.558815271,815,2.6,0.016176217,8,0.336085413,407,4,7,1
7.530575758,821,1.94,0.021810946,7,0.317710236,420,1,16,1
7.530334991,887,0.94,0.028779735,6,0.334387004,429,3,2,1
7.577042002,843,1.33,0.0120144,7,0.390412722,429,2,18,1
7.578458644,793,1.55,0.007661143,7,0.395968501,394,3,7,2
7.584483965,649,4.17,0.002412645,8,0.401596837,394,2,5,0
7.503675792,653,0.54,0.029674976,8,0.391599173,403,3,20,1
7.521538039,861,3.3,0.029279035,7,0.356684434,394,1,12,2
7.533684477,691,4.06,0.011712288,8,0.381716478,419,4,16,1
7.573275049,801,3.54,0.008284273,8,0.345562074,425,1,13,1
7.58757086,922,1.5,0.016224935,8,0.300022153,420,2,6,1
7.589209221,788,2.46,0.028156085,8,0.376749193,420,4,14,1
7.502037003,945,3.38,0.013382889,8,0.386186812,421,2,2,1
7.549073257,796,4.08,0.020214329,8,0.356853696,391,4,20,2
7.595961118,973,2.68,0.006844083,7,0.386701976,428,1,2,1
7.556490816,890,2.78,0.012175843,7,0.379623328,392,3,6,2
7.569209376,639,1.11,0.011960968,6,0.30061256,413,3,10,1
7.547520683,946,2.35,0.016857964,8,0.396225051,421,1,5,1
7.587577618,879,3.82,0.025962082,6,0.359009001,423,4,1,1
7.529964811,863,2.02,0.008176635,6,0.363339473,426,3,19,1
7.552737236,769,3.6,0.012762664,7,0.305368275,421,3,5,1
7.50683764,671,4.04,0.011886446,8,0.40439697,398,1,6,0
7.52470649,731,3.97,0.018312012,6,0.328659442,428,2,12,1
7.560462762,749,1.27,0.022910185,8,0.359259882,422,3,4,1
7.537517367,922,1.02,4.25E-05,7,0.37284914,405,2,8,1
7.521991483,634,0.95,0.010540912,7,0.347174001,403,4,12,1
7.503316872,680,1.11,0.020190596,8,0.352329422,429,4,2,1
7.586436114,842,0.14,0.024456744,8,0.310951148,414,3,11,1
7.595446564,710,1.1,0.023424969,6,0.40480694,414,4,11,1
7.560950185,808,3.05,0.009988354,8,0.404153282,390,1,3,0
7.526495515,623,1.44,0.020075619,8,0.373780565,417,2,7,1
7.583971613,964,3.61,0.028740851,7,0.357630581,397,1,14,0
7.573245665,979,0.19,0.00724461,6,0.382156491,428,2,1,1
7.596782945,874,0.26,0.014885048,7,0.302133843,397,2,14,2
7.513002923,727,0.57,0.003153425,6,0.40076138,418,4,19,1
7.582328071,850,3.44,0.001894758,8,0.399724261,408,4,4,1
7.525419808,866,2.82,0.025806961,6,0.31086601,410,2,5,1
7.558693593,640,1.61,0.029495988,8,0.342811615,416,1,19,1
7.585664548,627,3.53,0.006643705,7,0.353629867,404,1,2,1
7.560789984,794,1.17,0.005367038,6,0.40959996,396,1,7,0
7.561610491,660,0.37,0.011990934,6,0.388194364,410,3,15,1
7.556255606,819,2.53,0.017937215,6,0.301829297,421,3,15,1
7.546868305,969,3.51,0.009697503,8,0.399152148,424,2,18,1
7.593977824,873,3.34,2.84E-07,6,0.336145606,398,1,11,0
7.585285699,637,2.04,0.013397818,8,0.35952179,406,2,18,1
7.565172827,786,1.76,0.005601505,8,0.404506614,424,3,9,1
7.503507583,764,1.86,0.009485675,8,0.365700401,393,3,18,2
7.571474908,948,1.37,0.011087637,6,0.378578943,422,4,19,1
7.596934939,828,0.21,0.025348986,7,0.391122887,390,1,8,2
7.559605346,867,0.93,0.019406835,8,0.339321384,418,2,2,1
7.557621652,703,2.46,0.009347996,6,0.405903353,415,1,13,1
7.557997542,835,1.53,0.003165862,6,0.333037022,392,4,3,0
7.594229351,897,3.5,0.012937788,6,0.337471951,420,3,20,1
7.570038674,836,2.51,0.011279526,7,0.307005329,417,3,7,1
7.593792612,823,0.53,0.000569971,7,0.342179077,416,4,18,1
7.513421486,972,0.96,0.003508847,7,0.408556221,407,4,20,1
7.584990666,870,2.68,0.015198223,6,0.343774121,414,1,2,1
7.575495336,707,1.42,0.025753321,7,0.373131787,396,3,1,2
7.543635573,906,0.33,0.02106963,7,0.379638739,423,1,17,1
7.544022941,954,3.9,0.026856908,7,0.393112664,415,2,17,1
7.563909558,673,1.49,0.002413392,7,0.407604662,430,3,17,1
7.587050984,956,2.15,0.020435507,7,0.408818431,414,4,11,1
7.531364539,935,0.4,0.007011815,7,0.305217097,422,2,11,1
7.546817458,740,0.83,0.022788978,7,0.397254597,408,3,11,1
7.52690909,698,0.55,0.022223919,7,0.302918518,426,4,9,1
7.534947284,752,1.97,0.020788935,7,0.31319846,419,4,10,1
7.574020407,641,3.77,0.019343998,8,0.360018058,406,4,14,1
7.57093325,764,0.6,0.021618021,7,0.366626935,426,2,7,1
7.599986688,874,1.12,0.008406322,6,0.384953639,409,1,19,1
7.507110952,735,1,0.011073081,7,0.338559152,398,3,5,2
7.543146571,662,2.88,0.007728464,8,0.332243829,409,3,9,1
7.578562892,683,0.58,0.003224873,8,0.32777569,406,4,13,1
7.503741618,664,3.9,0.025412954,6,0.379922788,427,4,15,1
7.560058071,753,0.9,0.027096861,6,0.387278174,400,2,9,1
7.542646465,787,2.48,0.02652757,6,0.31366021,428,1,11,1
7.593619093,857,2.21,0.024947845,8,0.398634676,419,4,19,1
7.525790658,769,2.93,0.028159216,8,0.33424268,413,4,8,1
7.566688449,954,2.66,0.021349356,8,0.351270766,415,2,9,1
7.515316225,637,2.03,0.013507911,6,0.303969734,397,3,17,2
7.534706111,681,1.06,0.018174935,8,0.335235579,394,2,17,2
7.581199151,846,0.65,0.02813342,8,0.303921619,410,1,5,1
7.506743013,649,3.08,0.013726303,8,0.373032881,424,4,6,1
7.59283223,647,2.23,0.015056112,6,0.36764403,428,1,8,1
7.503941807,707,0.92,0.024392207,8,0.38831694,392,3,15,2
7.594425943,818,0.69,0.009430125,8,0.345055549,411,2,9,1
7.587303563,900,0.24,0.008151087,6,0.400181256,418,4,2,1
7.527986776,733,2.36,0.01156603,7,0.311719045,429,3,2,1
7.599687386,688,2.1,0.005439001,8,0.31042868,406,2,5,1
7.580901895,719,1.59,0.018750891,7,0.39552857,397,3,4,2
7.567125636,968,3.95,0.009287071,7,0.300261161,415,4,17,1
7.522428756,780,0.81,0.006702524,7,0.352874858,419,3,13,1
7.549721292,947,0.93,0.012308953,6,0.305888072,398,2,11,0
7.542441563,667,2.22,0.000683804,7,0.326332364,400,1,2,1
7.514554402,799,0.7,0.02018091,7,0.398173615,392,4,1,2
7.539468362,649,3.15,0.020196541,8,0.394045764,406,4,14,1
7.564304072,912,3.67,0.003803395,7,0.323701175,403,1,17,1
7.549961523,676,0.71,0.001921186,8,0.328178912,429,1,19,1
7.579089688,772,2.58,0.003027311,8,0.343007928,404,2,15,1
7.539380011,741,2.76,0.013282615,8,0.34698708,398,2,16,2
7.54970412,636,2.85,0.024873509,6,0.374728524,413,1,12,1
7.53503554,788,1.96,0.019102011,6,0.332186771,399,1,14,2
7.536316282,742,4.05,0.017673338,7,0.344366493,407,3,18,1
7.59292152,627,1.83,0.022663807,6,0.398475904,419,4,15,1
7.56625839,885,0.71,0.025377855,7,0.383287762,425,2,10,1
7.529248975,782,2.08,0.029436615,6,0.323843852,425,1,19,1
7.562192432,662,1.79,0.027500647,7,0.311462596,424,1,13,1
7.528435967,770,1.73,0.006347023,6,0.315210343,390,4,14,2
7.555984008,711,2.88,0.012118644,6,0.35373964,428,1,6,1
7.574256983,868,1.04,0.021016762,7,0.323752668,417,1,14,1
7.597698606,696,1.81,0.016429099,7,0.344026111,394,3,19,2
7.556585775,662,3.23,0.016696921,7,0.335177377,412,4,15,1
7.598550739,842,0.46,0.001344799,8,0.361298064,418,4,6,1
7.573190636,825,0.82,0.014773673,7,0.385207746,403,4,7,1
7.538568924,961,1.59,0.016798967,8,0.330953323,401,3,8,1
7.560724988,720,3.04,0.021416896,7,0.392482681,413,3,8,1
7.589783331,920,4.16,0.02090702,8,0.316439287,418,4,20,1
7.548215309,741,3.38,0.019920123,6,0.306545262,418,4,11,1
7.582299811,870,0.16,0.01304912,6,0.363539642,416,4,14,1
7.505984601,902,2.67,0.000813599,8,0.32638637,410,4,18,1
7.540879254,895,2.29,0.027291029,8,0.313837689,411,2,10,1
7.579812881,833,2.24,0.014886452,8,0.331691761,421,3,4,1
7.579430303,862,0.28,0.023412248,6,0.388921451,424,1,17,1
7.594253052,649,3.19,0.012671457,6,0.383638766,406,4,19,1
7.541855396,917,3.03,0.02081639,6,0.327429335,407,4,12,1
7.505142656,839,3.2,0.00725438,7,0.385361346,429,4,17,1
7.504811479,815,1.67,0.005776274,8,0.36140089,413,4,15,1
7.540672648,670,2.58,0.010359668,8,0.370628066,394,1,20,2
7.595864521,948,0.11,0.029387947,7,0.30694704,390,2,11,0
7.573317775,865,3.68,0.023701232,8,0.364683373,392,3,13,2
7.571452998,975,0.66,0.006743352,6,0.345476672,415,1,7,1
7.544131519,640,1.65,0.004460911,7,0.301608655,406,4,4,1
7.516630859,643,2.11,0.018936912,6,0.344019992,407,3,11,1
7.503188167,855,0.53,0.015696921,7,0.33306564,392,1,11,2
7.52570512,800,4.07,0.01496285,8,0.365637053,395,2,18,2
7.551423746,627,2.54,0.005530681,7,0.385193342,404,1,18,1
7.520129415,940,0.38,0.028764832,8,0.320048008,397,1,10,0
7.587090953,839,2.31,0.000142007,7,0.313293774,422,4,20,1
7.510368969,657,3.96,0.000771083,6,0.335845281,419,4,10,1
7.579887317,718,3.62,0.011472341,7,0.395659395,410,1,12,1
7.542312217,867,3.45,0.006514994,7,0.346446214,419,3,6,1
7.596400777,810,2.87,0.029344089,6,0.405656923,425,4,14,1
7.595343866,692,1.53,0.019814202,8,0.358424023,407,1,9,1
7.537829024,676,1.54,0.015946993,7,0.315650384,400,1,17,1
7.581706621,645,0.93,0.024283728,7,0.306837548,407,4,18,1
7.547485045,941,3.02,0.007043308,7,0.403977154,424,4,14,1
7.578738174,810,4.04,0.005780709,7,0.340423027,416,4,3,1
7.599548096,692,2.98,0.020495497,6,0.349014573,407,4,1,1
7.511109356,841,0.3,0.026499246,8,0.389311686,391,1,15,2
7.549215751,953,2.5,0.001016176,8,0.328951413,413,3,20,1
7.586034742,826,2.64,0.002974995,6,0.308395641,399,3,13,0
7.511602457,689,1.01,0.027076202,7,0.343436643,419,3,2,1
7.520152502,947,0.86,0.001343046,7,0.304985177,429,1,16,1
7.530754862,853,3.28,0.003429477,8,0.394510023,414,3,16,1
7.519121162,946,3.55,0.021874199,8,0.362496019,397,2,7,0
7.539581874,747,1.57,0.009504952,8,0.39968985,401,4,6,1
7.563032147,659,3.4,0.024856318,6,0.329805125,425,3,5,1
7.580565777,657,3.57,0.022070249,8,0.311431565,421,1,20,1
7.507736038,924,3.18,0.018991605,8,0.319088656,417,2,20,1
7.598512276,692,3.47,0.013111635,8,0.399007441,397,1,6,2
7.516988844,703,1.93,0.001188066,8,0.371638573,391,2,5,0
7.590018397,950,3.51,0.029039857,7,0.36978574,407,3,10,1
7.532211186,773,2.89,0.017316008,6,0.380354203,429,3,8,1
7.537765316,787,1.01,0.018403474,7,0.322974656,415,2,20,1
7.522511184,976,3.64,0.016961127,7,0.381852902,401,4,18,1
7.564184853,824,3.02,0.00322099,6,0.355922192,404,1,13,1
7.591846257,678,0.4,0.008716078,6,0.382635559,405,4,9,1
7.525417564,853,2.39,0.024701694,6,0.400641817,390,3,4,0
7.509564007,821,2.24,0.015638096,7,0.345377202,400,2,5,1
7.591542239,760,2.51,0.028050842,6,0.344442592,408,1,3,1
7.531588435,769,1.48,0.029739733,6,0.327844963,411,1,18,1
7.562986261,724,3.16,0.001021304,7,0.403415435,426,4,3,1
7.587987976,913,0.99,0.003564347,6,0.324399516,402,3,5,1
7.524993998,705,0.58,0.026449833,6,0.401200213,408,4,7,1
7.580918699,970,0.83,0.027152528,8,0.344745491,427,3,5,1
7.587953081,780,2.22,0.002412803,8,0.354285224,422,1,1,1
7.57574389,919,2.54,0.001448143,7,0.375198734,422,2,19,1
7.526160096,766,0.91,0.007066575,7,0.324099458,422,2,2,1
7.542319083,887,2.14,0.004084586,6,0.404146912,420,2,18,1
7.558777453,948,1.38,0.02631112,7,0.408847967,424,1,15,1
7.57831531,633,3.4,0.026041085,8,0.319150322,424,3,5,1
7.534528988,910,2.42,0.013464825,8,0.329627703,397,2,13,0
7.549653918,702,0.15,0.004439541,7,0.327399807,416,4,15,1
7.577526508,634,2.74,0.003064919,8,0.401818557,407,4,12,1
7.528474129,769,3.15,0.010253499,6,0.308662982,419,1,1,1
7.540494529,856,1.76,0.010421101,6,0.365969387,406,3,4,1
7.502187974,807,1.64,0.025729761,8,0.325878969,411,2,11,1
7.540765502,831,2.42,8.73E-05,8,0.304039529,420,3,19,1
7.524879455,635,1.66,0.027901163,6,0.343289843,396,1,16,2
7.558748352,774,1.45,0.027561402,8,0.376213122,394,2,6,2
7.595206389,857,2.36,0.017180631,7,0.326922934,411,1,13,1
7.501993598,791,0.24,0.012225588,8,0.385008801,394,1,16,2
7.520315848,868,3.68,0.020464034,7,0.339576533,414,4,5,1
7.594434913,905,2.94,0.01257375,6,0.376973179,403,4,13,1
7.539436266,797,3.27,0.008181761,8,0.317363663,420,4,17,1
7.511604811,890,3.06,0.013599604,8,0.352390184,399,3,2,2
7.525851999,904,0.78,0.021479837,7,0.355802096,413,3,17,1
7.519783012,888,1.98,0.001155698,8,0.368199859,408,3,6,1
7.570650089,692,2.7,0.005995617,6,0.326944614,409,4,16,1
7.55939694,688,3.54,0.018308696,7,0.375059017,401,3,1,1
7.574531224,679,3.69,0.00836992,7,0.372033366,404,2,4,1
7.559814393,924,1.24,0.005220209,8,0.320728285,409,3,13,1
7.581837847,707,0.6,0.016566425,8,0.359522307,423,4,8,1
7.592562584,922,1.96,0.001603366,6,0.302721036,411,3,7,1
7.563784031,808,1.2,0.023684321,7,0.3384692,390,1,11,2
7.592763688,636,1.61,0.018237387,7,0.370494195,414,1,7,1
7.585277836,773,1.94,0.025762479,8,0.360080134,419,4,13,1
7.58767507,663,2.56,0.00867773,7,0.34286872,407,1,14,1
7.545764516,866,2.29,0.004877032,6,0.381284339,415,4,9,1
7.575188075,966,0.8,0.019002362,8,0.361483954,425,2,14,1
7.582801105,697,0.61,0.002401687,7,0.310335489,418,1,8,1
7.592814479,952,3.61,0.004504523,7,0.388473617,405,4,13,1
7.5506089,779,1.5,0.007947065,8,0.301525622,398,3,17,2
7.50957495,808,2.18,0.019091296,6,0.397085377,411,4,16,1
7.596318179,806,0.47,0.026475704,8,0.354309111,402,1,9,1
7.559276609,923,2.98,0.01656028,6,0.34286158,429,1,14,1
7.554480496,692,1.97,0.011094192,6,0.333686095,398,2,17,2
7.559096228,915,1.25,0.012479367,6,0.339449036,425,2,14,1
7.567668541,763,2.27,0.005791117,6,0.409689399,418,3,16,1
7.514765732,957,3.33,0.011224379,7,0.363462736,405,1,4,1
7.538974045,687,0.97,0.023097248,7,0.377437548,424,1,3,1
7.537353912,858,3.53,0.022649441,7,0.390004845,404,2,13,1
7.577377714,764,3.3,0.023384018,6,0.406102677,407,1,16,1
7.58884442,715,0.83,0.015510596,6,0.38325232,425,3,1,1
7.563603689,952,3.04,0.003289283,8,0.356630147,416,4,1,1
7.537864495,634,3.39,0.002956901,8,0.330189982,395,4,9,0
7.5266061,802,0.45,0.029212461,7,0.343764446,422,2,8,1
7.552092772,834,3.9,0.027202119,7,0.388832,402,4,9,1
7.517357944,700,0.93,0.029069123,8,0.370913979,392,1,13,2
7.50840783,747,1.79,0.025155958,7,0.310498684,408,1,4,1
7.568154191,919,3.24,0.003536522,6,0.309586434,430,2,12,1
7.525240116,680,1.57,0.021839468,6,0.346056282,408,2,7,1
7.502790218,622,2.48,0.00779179,8,0.394843329,403,2,20,1
7.546712145,713,2.52,0.014322664,8,0.360994202,417,2,17,1
7.567392953,628,2.77,0.025330183,6,0.311687262,407,4,10,1
7.522552629,680,2.73,0.019032121,6,0.38395419,394,4,16,2
7.525595016,722,2.52,0.004182259,7,0.303754269,425,2,20,1
7.56883424,958,1.39,8.91E-05,6,0.357059889,430,3,15,1
7.548202651,724,2.06,0.014354707,7,0.377600211,405,4,11,1
7.512815319,710,1.32,0.007390477,8,0.371164933,422,2,6,1
7.511602836,957,0.15,0.002033058,6,0.329385095,400,1,15,1
7.518038289,707,3.69,0.026546666,6,0.357675729,411,2,18,1
7.553859638,897,0.49,0.027660832,8,0.335830098,395,2,4,2
7.580907277,705,0.3,0.016548316,8,0.402931662,393,3,6,0
7.519132836,830,2.46,0.014918855,7,0.312471845,419,4,14,1
7.550118104,972,3.48,0.011122451,7,0.363238443,419,3,11,1
7.53386852,964,2.85,0.024489257,7,0.393561416,407,2,8,1
7.529407951,697,1.86,0.006555267,6,0.329811547,430,4,4,1
7.544992649,814,3.77,0.002573608,8,0.396164746,422,1,10,1
7.589558553,821,3.28,0.010536075,6,0.315892548,402,4,18,1
7.526729278,970,0.78,5.34E-05,6,0.314808131,405,1,1,1
7.5667687,778,2.59,0.008904927,7,0.399208871,416,4,4,1
7.537002117,960,3.38,0.027022487,6,0.332848014,401,2,13,1
7.585997657,733,0.88,0.027089744,7,0.397026242,412,3,13,1
7.509879702,813,0.35,0.017450795,7,0.308835057,429,2,18,1
7.519564384,876,3.15,0.005249547,8,0.327065669,421,3,16,1
7.576498632,886,3.3,0.028494325,7,0.381627947,406,2,13,1
7.558087433,945,0.26,0.025478992,8,0.312113413,405,1,20,1
7.584594607,682,0.34,0.008627679,7,0.311890851,421,3,6,1
7.594660767,755,1.78,0.028783184,7,0.382104781,395,1,13,2
7.596970462,687,1.37,0.023746345,6,0.321404894,407,1,19,1
7.524781296,737,0.39,0.014307367,6,0.398907568,410,1,19,1
7.59142409,753,0.95,0.000345823,8,0.380107854,410,3,9,1
7.519101405,682,1,0.0040088,6,0.309982414,406,4,6,1
7.518549539,758,1.42,0.000507031,7,0.380796256,396,1,20,0
7.561957353,757,1.63,0.029095446,8,0.344495555,419,2,1,1
7.568619172,847,0.65,0.00024887,7,0.328535711,422,2,13,1
7.566453014,798,1.26,0.015577172,6,0.382220141,409,4,3,1
7.539373629,698,0.91,0.002671894,6,0.390738669,429,3,18,1
7.523497738,962,1.49,0.001015145,7,0.38216277,393,1,5,0
7.596723076,641,0.66,0.006203529,6,0.408299602,412,3,11,1
7.526372975,726,3.27,0.000246549,8,0.381007188,404,4,3,1
7.524667504,880,1.03,0.022770593,6,0.379230722,410,4,20,1
7.560862242,830,1.65,0.006473424,6,0.304583508,402,4,18,1
7.596459856,822,2.29,0.007240865,8,0.340333954,424,4,10,1
7.546301568,963,1.11,0.00141666,8,0.398440514,416,1,12,1
7.527082086,675,1.46,0.024571051,6,0.304234032,402,2,2,1
7.558274478,686,2.83,0.029750035,6,0.353443532,424,1,9,1
7.596962362,838,1.97,0.008191171,7,0.360765581,392,2,16,2
7.530032766,644,2.95,0.00114073,7,0.313478866,419,2,11,1
7.597706282,839,2.11,0.004964016,7,0.334905011,399,4,2,0
7.520881667,856,0.94,0.009951632,6,0.304623497,411,1,19,1
7.558992854,639,2.16,0.013419843,7,0.372590927,412,1,13,1
7.575452997,789,0.8,0.007500591,8,0.382176911,421,3,17,1
7.568164904,688,2.79,0.028413972,6,0.347048459,410,4,12,1
7.514616474,741,1.72,0.010218324,8,0.311617455,399,2,18,2
7.510292549,639,1.87,0.006210848,6,0.340821859,425,4,16,1
7.526463665,760,1.71,0.009109202,6,0.339639074,426,1,5,1
7.586816433,883,2.15,0.000242767,7,0.352816363,418,4,8,1
7.512675531,893,0.31,0.009166566,8,0.333630651,397,3,19,2
7.595619757,949,1.3,0.001631896,8,0.336228417,413,1,10,1
7.536291238,807,2.59,0.024856037,7,0.405972897,400,1,11,1
7.587710724,701,3.47,0.022700644,8,0.404085312,426,4,12,1
7.537327032,833,2.97,0.000565421,6,0.351561549,400,4,9,1
7.533949771,922,1.99,0.021763322,8,0.358870964,424,2,20,1
7.512792824,862,1.59,0.015252418,8,0.387832828,400,3,4,1
7.559341478,683,1.24,0.028733016,7,0.308527694,391,2,19,2
7.548019521,686,2.37,0.026636247,6,0.314199619,406,3,7,1
7.502950812,658,0.36,0.007050128,7,0.333355377,429,3,2,1
7.561288938,834,0.76,0.007784766,7,0.304058329,405,4,12,1
7.528829034,943,0.37,0.021190347,6,0.385986565,421,1,14,1
7.516945385,748,0.56,0.022951754,6,0.339821963,394,2,20,2
7.52350307,832,2.87,0.022342303,6,0.334644775,415,2,3,1
7.501665436,939,1.61,0.010957762,8,0.31577176,415,4,20,1
7.591401657,855,3.87,0.02668626,7,0.304517745,391,1,12,2
7.582984034,856,1.64,0.028046009,8,0.349460619,428,2,19,1
7.596172131,676,3.36,0.02455044,7,0.301827321,425,1,19,1
7.51331486,854,3.92,0.020493338,7,0.317149548,402,1,7,1
7.575244667,972,3.55,0.013440396,7,0.327184579,392,4,5,0
7.596324445,817,1.51,0.009380117,7,0.36412944,424,1,3,1
7.591130001,795,4.16,0.019654194,6,0.330808387,409,3,1,1
7.541156711,689,2.99,0.028014794,8,0.389019636,415,4,11,1
7.595301165,749,3.71,0.02690068,8,0.405445104,398,2,7,0
7.558485792,712,3.8,0.010262653,7,0.306206914,397,2,7,2
7.500655619,793,2.01,0.020148919,6,0.354204954,393,3,19,2
7.554810275,957,2.14,0.012122379,6,0.345135092,393,4,1,0
7.550172665,778,2.63,0.01339595,6,0.328357609,404,2,17,1
7.515043849,670,4.19,0.009636863,8,0.321456846,427,3,6,1
7.553881748,797,2.54,0.019600149,7,0.321587466,412,1,8,1
7.579091669,917,2.31,0.004617914,8,0.398660214,394,1,14,0
7.552407253,904,3.14,0.006277902,6,0.373085663,409,4,12,1
7.50587155,876,3.52,0.016849547,7,0.386175524,398,1,2,2
7.596732259,674,0.19,0.004748256,6,0.351125401,394,2,14,0
